team,year,rank,points,year,rank,points,year,rank,points,year,rank,points,year,total.games,total.wins,total.losses,total.ties,total.games,total.wins,total.losses,total.ties,total.games,total.wins,total.losses,total.ties,total.games,total.wins,total.losses,total.ties,season,totalPPA,percentPPA
Louisiana Tech,2014,89,119.17,2015,82,142.32,2016,94,128.91,2017,100,121.72,2014,14,9,5,0,13,9,4,0,14,9,5,0,13,7,6,0,2018,274.5,0.746
Tulane,2014,90,118.86,2015,91,128.9,2016,97,127.78,2017,112,114.66,2014,12,3,9,0,12,3,9,0,12,4,8,0,12,5,7,0,2018,262.9,0.845
Rice,2014,91,117.7,2015,101,120.11,2016,129,93.86,2017,122,101.12,2014,13,8,5,0,12,5,7,0,12,3,9,0,12,1,11,0,2018,119.4,0.635
Toledo,2014,92,115.38,2015,84,138.12,2016,88,132.92,2017,78,146.6,2014,13,9,4,0,12,10,2,0,13,9,4,0,14,11,3,0,2018,294.3,0.531
New Mexico,2014,93,112.56,2015,116,110.03,2016,83,141.76,2017,118,109.85,2014,12,4,8,0,13,7,6,0,13,9,4,0,12,3,9,0,2018,108.6,0.687
Florida Atlantic,2014,94,111.77,2015,79,146.02,2016,89,132.74,2017,60,171.18,2014,12,3,9,0,12,3,9,0,12,3,9,0,14,11,3,0,2018,255.6,0.494
Arkansas State,2014,95,111.51,2015,90,131.45,2016,90,132.18,2017,111,114.91,2014,13,7,6,0,13,9,4,0,13,8,5,0,12,7,5,0,2018,319.1,0.714
Georgia Southern,2014,96,111.25,2015,85,137.18,2016,77,149.4,2017,106,118.78,2014,12,9,3,0,13,9,4,0,12,5,7,0,12,2,10,0,2018,97.5,0.625
Texas State,2014,97,109.9,2015,95,124.71,2016,110,111.71,2017,92,127.89,2014,12,7,5,0,12,3,9,0,12,2,10,0,12,2,10,0,2018,75.5,0.37
Northern Illinois,2014,98,109.52,2015,83,138.94,2016,112,111.4,2017,97,122.74,2014,14,11,3,0,14,8,6,0,12,5,7,0,13,8,5,0,2018,163.1,0.64
Hawai'i,2014,99,108.34,2015,122,98.16,2016,108,111.87,2017,86,133.96,2014,13,4,9,0,13,3,10,0,14,7,7,0,12,3,9,0,2018,77.3,0.284
Buffalo,2014,100,108.06,2015,118,103.21,2016,118,107.51,2017,113,112.97,2014,11,5,6,0,12,5,7,0,12,2,10,0,12,6,6,0,2018,313.8,0.74
Ball State,2014,101,107.53,2015,105,119.7,2016,113,110.91,2017,90,128.8,2014,12,5,7,0,12,3,9,0,12,4,8,0,12,2,10,0,2018,184.7,1.256
Ohio,2014,102,105.12,2015,92,128.68,2016,115,109.82,2017,103,120.83,2014,12,6,6,0,13,8,5,0,14,8,6,0,13,9,4,0,2018,266.7,0.729
North Texas,2014,103,105.0,2015,94,126.6,2016,102,122.36,2017,115,111.16,2014,12,4,8,0,12,1,11,0,13,5,8,0,14,9,5,0,2018,400.0,0.731
Georgia State,2014,105,102.91,2015,124,90.61,2016,127,96.32,2017,105,119.23,2014,12,1,11,0,13,6,7,0,12,3,9,0,12,7,5,0,2018,150.3,0.551
Bowling Green,2014,106,102.64,2015,104,119.83,2016,111,111.58,2017,81,138.14,2014,14,8,6,0,14,10,4,0,12,4,8,0,12,2,10,0,2018,166.5,0.595
Louisiana,2014,107,102.49,2015,78,146.18,2016,106,115.83,2017,121,104.33,2014,13,9,4,0,12,4,8,0,13,6,7,0,12,5,7,0,2018,220.4,0.752
Navy,2014,108,101.9,2015,112,114.7,2016,91,132.07,2017,88,131.73,2014,13,8,5,0,13,11,2,0,14,9,5,0,13,7,6,0,2018,230.3,0.768
